MSSubClass,MSZoning,log(LotArea),Neighborhood,OverallQual,OverallCond,log(TotalBsmtSF),log(GrLivArea),SaleType,SaleCondition,log(SalePrice)
1-STORY 1946 & NEWER ALL STYLES,RL,3.926856709,CollgCr,7,5,3.15715444,3.15715444,WD,Normal,5.322219295
2-STORY 1945 & OLDER,RM,3.995898324,OldTown,4,4,2.836324116,3.123198075,WD,Family,5.029383778
1-1/2 STORY FINISHED ALL AGES,RL,4.194791758,Crawfor,7,9,2.902002891,3.290924559,WD,Normal,5.493458051
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.478566496,Blmngtn,7,5,3.096214585,3.096214585,New,Partial,5.223340159
1-STORY 1946 & NEWER ALL STYLES,RL,3.953759692,CollgCr,7,5,3.175511813,3.175511813,New,Partial,5.311541958
2-STORY 1946 & NEWER,RL,3.90676589,Gilbert,6,5,3.004321374,3.35545152,ConLI,Normal,5.301029996
2-STORY 1946 & NEWER,RL,4.059752694,NWAmes,6,6,2.85308953,3.190891717,WD,Normal,5.255031163
1-STORY 1946 & NEWER ALL STYLES,RL,4.021189299,NAmes,4,6,2.936513742,2.936513742,WD,Abnorml,4.986771734
1-STORY 1946 & NEWER ALL STYLES,RL,4.129432074,NridgHt,10,5,3.378761175,3.378761175,WD,Normal,5.586868492
2-STORY PUD - 1946 & NEWER,RM,3.225309282,BrDale,5,5,2.799340549,3.114610984,COD,Abnorml,5.049218023
2-STORY 1946 & NEWER,RL,3.997823081,NoRidge,7,5,3.080265627,3.401400541,WD,Abnorml,5.462397998
2-STORY PUD - 1946 & NEWER,RM,3.271609301,BrDale,6,6,2.683947131,2.994317153,WD,Normal,5.025305865
1-STORY 1946 & NEWER ALL STYLES,RL,3.930490565,Sawyer,5,5,2.959994838,2.959994838,WD,Normal,5.096910013
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.502700175,Blmngtn,7,5,3.137670537,3.191730393,WD,Normal,5.284430734
1-STORY 1946 & NEWER ALL STYLES,RL,3.942504106,NAmes,6,6,3.077004327,3.077004327,WD,Normal,5.170261715
2-STORY 1946 & NEWER,RL,4.180068501,NoRidge,8,5,3.164947373,3.446226402,WD,Normal,5.605305046
2-STORY PUD - 1946 & NEWER,RM,3.225309282,BrDale,6,5,2.683947131,2.994317153,WD,Normal,4.975431809
1-STORY 1946 & NEWER ALL STYLES,RL,4.027349608,CollgCr,5,6,2.951337519,2.951337519,WD,Normal,5.107888025
2-STORY 1946 & NEWER,RL,3.894924977,Gilbert,6,5,2.934498451,3.292256071,WD,Normal,5.335457901
2-STORY PUD - 1946 & NEWER,RM,3.225309282,BrDale,6,3,2.683947131,2.994317153,WD,Normal,4.951823035
1-STORY 1946 & NEWER ALL STYLES,RL,3.943148129,CollgCr,7,5,3.150449409,3.150449409,WD,Normal,5.268343914
2-STORY 1946 & NEWER,RL,3.975569658,SawyerW,7,7,2.998259338,3.241546481,WD,Normal,5.288919606
1-STORY 1946 & NEWER ALL STYLES,RL,4.080265627,NridgHt,8,5,3.228913406,3.228913406,New,Partial,5.50242712
1-1/2 STORY FINISHED ALL AGES,RL,3.94156112,Edwards,6,4,2.866287339,3.172310969,WD,Normal,5.053078443
1-STORY 1946 & NEWER ALL STYLES,FV,3.954242509,Somerst,8,5,3.194791758,3.194791758,WD,Normal,5.419129308
1-STORY 1945 & OLDER,RM,3.588831726,OldTown,5,9,2.836324116,2.937517892,WD,Normal,5.043362278
1-1/2 STORY FINISHED ALL AGES,RM,3.698970004,OldTown,5,4,2.73239376,3.158362492,WD,Normal,4.897627091
2-STORY PUD - 1946 & NEWER,RL,4.031892988,SawyerW,6,6,2.796574333,3.085290578,WD,Normal,5.079181246
2-STORY 1946 & NEWER,RL,3.948412966,SawyerW,7,5,2.976808337,3.324282455,WD,Normal,5.311753861
1-STORY 1946 & NEWER ALL STYLES,RL,4.017033339,NWAmes,7,5,3.26599637,3.272305844,WD,Normal,5.382917135
2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,3.961041217,OldTown,6,8,3.008600172,3.28510703,WD,Normal,5.136720567
1-STORY 1946 & NEWER ALL STYLES,RL,4.053462605,NAmes,6,5,3.135768515,3.138302698,WD,Normal,5.146128036
2-STORY 1946 & NEWER,RL,4.053731316,CollgCr,7,5,2.924279286,3.222196046,WD,Normal,5.255272505
1-1/2 STORY FINISHED ALL AGES,RL,5.201397124,ClearCr,6,7,3.159567193,3.331224781,WD,Normal,5.442479769
1-STORY 1945 & OLDER,RL,3.728353782,BrkSide,3,2,2.862131379,3.115943177,WD,Normal,4.883661435
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.67669361,Crawfor,8,5,3.196728723,3.210853365,WD,Family,5.371067862
2-STORY 1946 & NEWER,RL,3.92251786,SawyerW,6,5,2.902002891,3.214843848,WD,Normal,5.238046103
SPLIT OR MULTI-LEVEL,RL,3.970811611,NAmes,6,7,3.114610984,3.114610984,CWD,Normal,5.198657087
1-STORY 1946 & NEWER ALL STYLES,RL,3.924279286,NAmes,5,6,3.118595365,3.118595365,WD,Normal,5.161368002
2-STORY 1946 & NEWER,RL,3.94141204,Gilbert,7,5,2.989004616,3.360025089,WD,Normal,5.361727836
2-STORY 1946 & NEWER,FV,3.94403828,Somerst,6,5,2.936513742,3.237543738,WD,Normal,5.317018101
1-STORY 1946 & NEWER ALL STYLES,RL,3.945173046,CollgCr,7,5,3.205204364,3.205204364,WD,Abnorml,5.342422681
2-STORY 1946 & NEWER,RL,4.09464579,CollgCr,7,5,2.983626287,3.253338005,WD,Normal,5.364550995
1-STORY 1946 & NEWER ALL STYLES,RM,4.103872108,OldTown,5,5,#NUM!,2.945468585,WD,Normal,4.986771734
SPLIT OR MULTI-LEVEL,RL,4.28546729,NAmes,6,5,3.134177108,3.140508043,WD,Normal,5.245512668
2-STORY 1946 & NEWER,RL,3.981728025,CollgCr,8,5,3.170848204,3.410608543,New,Partial,5.440909082
SPLIT OR MULTI-LEVEL,RL,3.927934682,Sawyer,6,7,2.704150517,3.08350262,WD,Normal,5.178976947
1-1/2 STORY FINISHED ALL AGES,RM,3.740362689,OldTown,5,7,2.966610987,3.119255889,WD,Normal,5.113943352
1-STORY 1945 & OLDER,RM,3.718667735,OldTown,5,5,2.832508913,2.883093359,WD,Normal,4.86332286
1-STORY 1946 & NEWER ALL STYLES,RL,4.082426301,NWAmes,6,6,3.152899596,3.152899596,WD,Normal,5.244277121
2-STORY 1946 & NEWER,RL,4.049489372,Gilbert,6,5,2.904174368,3.179264464,WD,Normal,5.267171728
2-1/2 STORY ALL AGES,RL,3.924279286,SWISU,5,8,2.857332496,3.34084055,WD,Normal,5.254064453
1-STORY 1945 & OLDER,RM,3.838849091,IDOTRR,5,6,2.86923172,2.890979597,WD,Normal,5.080987047
1-STORY 1946 & NEWER ALL STYLES,RL,3.898560645,Edwards,6,7,3.05804623,3.046495164,WD,Normal,5.170261715
2-STORY 1946 & NEWER,FV,4.030518765,Somerst,8,5,3.039414119,3.287577809,New,Partial,5.424881637
1-STORY 1946 & NEWER ALL STYLES,RL,4.592221184,ClearCr,7,7,3.141449773,3.134495856,WD,Normal,5.382917135
2-STORY 1946 & NEWER,RL,4.070555016,NoRidge,8,7,3.061452479,3.356025857,WD,Normal,5.462397998
1-STORY 1946 & NEWER ALL STYLES,RL,3.982271233,NAmes,6,6,3.093421685,3.212720154,WD,Normal,5.1430148
1-STORY 1946 & NEWER ALL STYLES,RL,3.91981002,Mitchel,5,7,2.911690159,2.911690159,WD,Normal,5.095169351
1-1/2 STORY FINISHED ALL AGES,RL,3.861175836,BrkSide,7,7,2.978636948,3.189770956,WD,Normal,5.311753861
1-STORY 1946 & NEWER ALL STYLES,RL,3.963598963,Mitchel,7,5,3.193124598,3.193124598,WD,Normal,5.303196057
1-STORY 1946 & NEWER ALL STYLES,RL,4.28189655,Gilbert,4,5,2.936513742,2.936513742,WD,Normal,5.149219113
1-STORY 1946 & NEWER ALL STYLES,RL,4.159867847,NridgHt,9,5,3.326540669,3.326540669,New,Partial,5.61835984
2-STORY 1946 & NEWER,RL,4.000217093,ClearCr,7,5,3.064457989,3.305781151,WD,Normal,5.283301229
2-STORY 1946 & NEWER,RL,4.052578525,SawyerW,7,6,2.906873535,3.29710365,WD,Normal,5.358886204
1-STORY 1946 & NEWER ALL STYLES,FV,3.857332496,Somerst,6,5,3.101059355,3.101059355,New,Partial,5.267171728
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.704407927,NridgHt,7,5,3.118595365,3.118595365,ConLw,Normal,5.317018101
1-STORY 1946 & NEWER ALL STYLES,RL,3.982813762,Somerst,8,5,3.166726056,3.166726056,New,Partial,5.388456453
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.903740941,SawyerW,6,5,3.197280558,3.197280558,WD,Normal,5.253338005
2-STORY PUD - 1946 & NEWER,FV,3.628491105,Somerst,7,5,2.795880017,3.096910013,New,Partial,5.216693599
1-1/2 STORY FINISHED ALL AGES,RL,3.990605211,NAmes,6,7,2.959994838,3.239049093,WD,Normal,5.201397124
1-STORY 1946 & NEWER ALL STYLES,RL,3.90982337,NAmes,4,4,2.933487288,2.933487288,WD,Normal,4.944482672
1-STORY 1946 & NEWER ALL STYLES,RL,3.99206726,Sawyer,5,5,2.945468585,2.954242509,WD,Normal,5.086359831
2-STORY 1945 & OLDER,RL,3.941014244,BrkSide,6,7,2.843855423,3.144885418,WD,Normal,5.186320524
2-STORY 1946 & NEWER,RL,4.193430724,CollgCr,8,5,3.033021445,3.283074975,New,Partial,5.367784412
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,3.754883228,SWISU,5,6,2.892094603,3.234517284,WD,Normal,5.133219457
1-1/2 STORY FINISHED ALL AGES,RL,4.05724758,Edwards,5,4,2.88536122,3.234517284,WD,Normal,5.117271296
2-STORY 1946 & NEWER,RL,4.221648928,NWAmes,7,7,2.900367129,3.354684554,WD,Normal,5.371067862
1-STORY 1946 & NEWER ALL STYLES,RL,3.982271233,NAmes,6,5,3.151063253,3.215901813,WD,Normal,5.222716471
SPLIT OR MULTI-LEVEL,RL,3.89965638,Mitchel,6,6,3.001300933,3.001300933,WD,Normal,5.153814864
1-1/2 STORY FINISHED ALL AGES,RM,4.137037455,IDOTRR,5,5,2.959041392,3.192567453,WD,Normal,5.181843588
2-STORY 1946 & NEWER,FV,3.869173027,Somerst,7,5,2.989004616,3.290034611,WD,Normal,5.378397901
2-STORY 1946 & NEWER,RL,4.068185862,NWAmes,6,6,2.846337112,3.241297387,WD,Normal,5.243038049
1-STORY 1946 & NEWER ALL STYLES,RL,4.146128036,Crawfor,6,8,3.038222638,3.061452479,WD,Family,5.200029267
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,4.197280558,Crawfor,5,5,3.066325925,3.125806458,WD,Normal,5.195899652
2-STORY 1946 & NEWER,RL,4.210211472,CollgCr,8,5,3.011993115,3.389520466,WD,Normal,5.426511261
1-STORY 1946 & NEWER ALL STYLES,RL,4.13684735,CollgCr,7,5,3.187802639,3.187802639,WD,Normal,5.311753861
1-STORY 1946 & NEWER ALL STYLES,RL,3.991226076,CollgCr,5,7,2.951337519,2.951337519,WD,Abnorml,5.175801633
2-1/2 STORY ALL AGES,RM,4.264487256,OldTown,7,9,3.167317335,3.543198586,WD,Normal,5.469822016
1-STORY 1946 & NEWER ALL STYLES,RL,4.016448318,CollgCr,8,5,3.301029996,3.301029996,WD,Normal,5.485579477
2-STORY 1946 & NEWER,RL,4.129496543,SawyerW,7,5,2.84509804,3.350829274,WD,Normal,5.352182518
1-1/2 STORY FINISHED ALL AGES,RM,3.898725182,IDOTRR,6,7,2.503790683,3.147985321,WD,Normal,4.951823035
1-STORY 1945 & OLDER,RL,4.091385542,Edwards,4,5,2.935003151,2.935003151,WD,Normal,4.916453949
1-STORY 1946 & NEWER ALL STYLES,RL,4.092650478,NridgHt,9,5,3.277838333,3.288696261,WD,Normal,5.556302501
2-STORY 1946 & NEWER,RL,3.885643872,Gilbert,6,5,2.843232778,3.176380692,WD,Normal,5.219060332
1-STORY 1946 & NEWER ALL STYLES,RL,3.903089987,NAmes,6,6,2.987666265,2.987666265,WD,Normal,5.120573931
2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,3.892094603,OldTown,5,7,2.899273187,3.048441804,WD,Normal,5.078819183
1-STORY 1946 & NEWER ALL STYLES,RL,5.332933072,Timber,7,5,3.329601248,3.308777774,WD,Normal,5.574031268
2-STORY 1945 & OLDER,RM,3.982271233,OldTown,7,7,2.862131379,3.215108581,WD,Normal,5.250420002
2-STORY 1946 & NEWER,RL,3.89181612,Gilbert,7,5,2.854913022,3.155943018,WD,Normal,5.275311355
2-STORY 1946 & NEWER,RL,4.114110357,NWAmes,7,7,2.926856709,3.371621927,WD,Normal,5.414973348
2-STORY 1946 & NEWER,FV,3.954242509,Somerst,8,5,3.036628895,3.292034436,WD,Normal,5.431363764
2-STORY 1946 & NEWER,RL,3.995635195,NoRidge,7,5,3.129367596,3.42258984,WD,Normal,5.414973348
SPLIT OR MULTI-LEVEL,RL,4.149680882,NWAmes,7,5,3.137354111,3.16790781,WD,Normal,5.273001272
2-STORY 1946 & NEWER,RL,4.211093831,NridgHt,9,5,3.096562438,3.414304688,New,Partial,5.534841864
2-STORY 1946 & NEWER,RL,4.082749477,NridgHt,8,5,3.055378331,3.392345155,WD,Normal,5.549003262
2-STORY 1946 & NEWER,RL,4.016197354,SawyerW,7,5,3.176669933,3.436162647,WD,Normal,5.478566496
1-STORY 1946 & NEWER ALL STYLES,RM,3.764922985,OldTown,3,8,3.065206128,3.065579715,WD,Normal,5.100973313
SPLIT OR MULTI-LEVEL,RL,4.052116551,NAmes,7,7,2.851258349,3.473924693,WD,Normal,5.383815366
1-1/2 STORY - UNFINISHED ALL AGES,RM,3.698970004,IDOTRR,5,6,2.857332496,2.904715545,WD,Normal,4.939519253
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,4.0352696,Veenker,8,5,3.235275877,3.235275877,Con,Normal,5.51054501
1-STORY 1946 & NEWER ALL STYLES,RL,4.064457989,NAmes,6,5,3.14082218,3.14082218,WD,Normal,5.162116141
2-1/2 STORY ALL AGES,RL,4.075108796,BrkSide,6,6,2.926342447,3.329194415,WD,Normal,5.331427297
2-STORY 1945 & OLDER,RM,3.80631567,IDOTRR,5,5,2.77524626,3.076276255,WD,Normal,4.892094603
DUPLEX - ALL STYLES AND AGES,RL,4.026288062,NAmes,5,4,3.237543738,3.237543738,WD,Normal,5.075546961
1-STORY 1946 & NEWER ALL STYLES,RL,3.912540883,NAmes,5,6,3.023663918,3.023663918,WD,Normal,5.1430148
1-STORY 1946 & NEWER ALL STYLES,RL,4.027553454,NridgHt,8,5,3.505963518,3.211921084,WD,Normal,5.45331834
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.913707914,NridgHt,7,5,3.13289977,3.13289977,WD,Normal,5.315970345
2-STORY 1946 & NEWER,RL,3.956264503,Gilbert,6,5,2.974511693,3.214313897,WD,Normal,5.283301229
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,5.216588111,Timber,5,6,3.175801633,3.251881455,WD,Normal,5.359740648
1-STORY 1946 & NEWER ALL STYLES,RL,4.150971232,StoneBr,9,5,3.283753383,3.283753383,WD,Normal,5.576831814
1-STORY 1946 & NEWER ALL STYLES,RL,3.960708552,CollgCr,7,5,3.186391216,3.186391216,WD,Normal,5.330413773
1-STORY 1946 & NEWER ALL STYLES,RL,4.150602952,NWAmes,7,7,3.082066934,3.209783015,WD,Normal,5.306425028
1-STORY 1946 & NEWER ALL STYLES,RL,4.093421685,NAmes,6,7,3.084576278,3.084576278,WD,Normal,5.190331698
2-STORY 1946 & NEWER,RL,4.152013,Timber,8,5,2.985426474,3.28057837,WD,Normal,5.307282047
1-STORY 1946 & NEWER ALL STYLES,RH,3.924279286,SawyerW,4,4,2.857935265,2.924795996,WD,Normal,4.913813852
DUPLEX - ALL STYLES AND AGES,RL,3.93166124,NAmes,3,4,#NUM!,3.017033339,WD,Normal,4.942008053
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.946894195,NridgHt,9,5,3.226342087,3.226342087,WD,Normal,5.424881637
2-STORY PUD - 1946 & NEWER,RM,3.413634997,MeadowV,5,3,2.72916479,3.046104787,WD,Normal,4.929418926
1-1/2 STORY FINISHED ALL AGES,RL,3.808548551,BrkSide,6,5,2.987666265,3.197831693,WD,Normal,5.146748014
1-STORY 1946 & NEWER ALL STYLES,RL,4.10625891,NAmes,6,8,2.981365509,2.981365509,WD,Normal,5.180412633
1-STORY 1946 & NEWER ALL STYLES,RL,4.245512668,NAmes,6,5,3.169674434,3.169674434,WD,Normal,5.197280558
2-STORY PUD - 1946 & NEWER,RL,3.388811413,NridgHt,7,5,2.883093359,3.211120541,WD,Normal,5.187520721
2-STORY 1946 & NEWER,RL,4.310289624,NridgHt,9,5,3.266701967,3.435844366,New,Partial,5.640634457
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.893206753,NridgHt,9,5,3.271609301,3.271609301,New,Partial,5.50251042
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.721893016,ClearCr,7,5,3.162265614,3.162265614,WD,Abnorml,5.278753601
1-1/2 STORY FINISHED ALL AGES,RL,3.958277126,Edwards,5,6,2.789580712,3.045714059,ConLw,Normal,4.977723605
1-STORY 1945 & OLDER,RM,3.930439595,OldTown,6,8,2.79518459,2.857332496,WD,Normal,5.02489596
1-1/2 STORY FINISHED ALL AGES,RL,3.924279286,SWISU,6,5,2.973127854,3.202760687,WD,Normal,5.146128036
1-STORY 1946 & NEWER ALL STYLES,RL,4.051113917,CollgCr,6,5,3.079181246,3.079181246,WD,Normal,5.249198357
1-STORY 1946 & NEWER ALL STYLES,RL,3.966047821,Gilbert,6,6,3.063708559,3.067070856,WD,Normal,5.238046103
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.62572391,MeadowV,5,5,3.057666104,3.057666104,WD,Normal,5.127104798
SPLIT OR MULTI-LEVEL,RL,3.840733235,ClearCr,5,4,3.026124517,3.130976692,WD,Abnorml,5.113943352
2-STORY 1946 & NEWER,RL,4.079579167,NoRidge,8,5,3.035829825,3.284205068,WD,Normal,5.447158031
SPLIT FOYER,RL,3.877371346,Mitchel,6,6,2.948412966,2.959994838,WD,Normal,5.193124598
1-1/2 STORY FINISHED ALL AGES,RL,3.961136217,BrkSide,5,5,2.945960704,3.1775365,WD,Normal,5.161368002
SPLIT FOYER,RL,3.863382348,Edwards,7,5,#NUM!,3.283753383,ConLD,Normal,5.297760511
2-STORY PUD - 1946 & NEWER,RM,3.225309282,BrDale,6,8,2.683947131,2.994317153,WD,Normal,5.071882007
2-STORY 1946 & NEWER,RL,4.274157849,NWAmes,6,5,2.900913068,3.197004728,WD,Normal,5.278753601
2-STORY 1945 & OLDER,RM,4.028977705,IDOTRR,5,7,2.827369273,3.128399269,WD,Normal,5.167317335
1-STORY 1946 & NEWER ALL STYLES,RL,3.977723605,NAmes,6,5,3.144262774,3.144262774,WD,Normal,5.201397124
SPLIT OR MULTI-LEVEL,RL,3.961421094,NAmes,6,5,3.040997692,3.155639634,WD,Normal,5.217483944
1-STORY 1946 & NEWER ALL STYLES,RL,3.892094603,NAmes,5,6,3.103119254,3.103119254,WD,Normal,5.120573931
1-STORY 1946 & NEWER ALL STYLES,RL,3.992553518,NAmes,5,7,3.026533265,3.109578547,WD,Normal,5.209515015
2-STORY 1946 & NEWER,RL,3.90960951,Gilbert,6,5,2.979092901,3.221153322,WD,Normal,5.236537261
1-1/2 STORY FINISHED ALL AGES,RL,4.23350376,ClearCr,4,4,#NUM!,3.200850498,WD,Normal,5.12850266
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.855821905,SawyerW,6,5,2.871572936,2.876217841,WD,Normal,5.096910013
1-STORY 1946 & NEWER ALL STYLES,RL,4.026696656,NAmes,5,6,2.783903579,3.120244796,WD,Normal,5.089905111
2-STORY 1946 & NEWER,RL,3.913813852,CollgCr,7,5,2.92788341,3.28510703,WD,Normal,5.341434525
1-STORY 1945 & OLDER,RL,4.000867722,Edwards,1,1,2.834420704,2.95616843,WD,Normal,4.785329835
SPLIT FOYER,RL,3.946746935,CollgCr,5,5,2.939519253,2.960946196,WD,Normal,5.170261715
2-STORY 1946 & NEWER,FV,4.047002131,Somerst,8,5,3.198657087,3.391993072,WD,Normal,5.531478917
1-STORY 1946 & NEWER ALL STYLES,RL,4.056676215,StoneBr,9,2,3.268577972,3.268577972,New,Partial,5.595972142
2-STORY 1946 & NEWER,RL,3.909716453,Gilbert,6,5,2.992111488,3.255272505,WD,Normal,5.252853031
1-1/2 STORY FINISHED ALL AGES,RL,3.698970004,SWISU,5,6,3.011147361,3.228143608,WD,Normal,5.103803721
1-STORY 1946 & NEWER ALL STYLES,FV,3.857332496,Somerst,7,5,3.111598525,3.114277297,New,Partial,5.273579946
2-STORY 1946 & NEWER,RL,3.965906915,CollgCr,7,5,2.972665592,3.254548077,WD,Normal,5.329397879
1-1/2 STORY - UNFINISHED ALL AGES,RH,3.954242509,SawyerW,6,3,2.894316063,2.894316063,WD,Normal,4.880813592
2-STORY 1946 & NEWER,RL,4.725151769,ClearCr,6,5,3.198657087,3.290702243,WD,Normal,5.380211242
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.502700175,Blmngtn,8,5,3.098989639,3.103461622,WD,Normal,5.283301229
1-1/2 STORY FINISHED ALL AGES,RL,3.924795996,Edwards,5,3,2.818225894,3.073351702,WD,AdjLand,4.908485019
SPLIT OR MULTI-LEVEL,RL,3.857332496,Edwards,6,6,3.01745073,3.051152522,WD,Abnorml,5.096910013
1-STORY 1946 & NEWER ALL STYLES,RL,3.972295429,CollgCr,7,5,3.166726056,3.169968174,WD,Normal,5.281033367
2-STORY 1946 & NEWER,RL,4.09600574,NridgHt,10,5,3.225825991,3.367728546,New,Partial,5.629409599
1-1/2 STORY FINISHED ALL AGES,RL,3.924537718,Edwards,5,8,2.935003151,3.135768515,WD,Normal,5.075546961
2-STORY 1946 & NEWER,RL,4.086680094,Mitchel,6,5,2.905256049,3.292477594,WD,Normal,5.33243846
1-STORY 1946 & NEWER ALL STYLES,RL,3.921113974,NAmes,5,7,#NUM!,2.945468585,WD,Normal,5.027349608
1-STORY 1945 & OLDER,RL,3.871923032,BrkSide,4,5,2.896526217,2.896526217,WD,Abnorml,5
1-1/2 STORY FINISHED ALL AGES,RL,4.0057809,OldTown,5,6,2.866287339,3.014520539,WD,Normal,5.037426498
1-STORY 1946 & NEWER ALL STYLES,RL,3.980957316,Edwards,5,6,3.058426024,3.058426024,WD,Normal,5.11058971
1-STORY 1946 & NEWER ALL STYLES,RL,3.857332496,CollgCr,5,5,2.951337519,2.951337519,WD,Normal,5.089905111
2-STORY 1946 & NEWER,RL,3.880241776,NAmes,5,5,2.936513742,3.258158193,WD,Normal,5.229169703
1-STORY 1945 & OLDER,RM,3.95264717,IDOTRR,5,2,2.982723388,3.032215703,WD,Abnorml,4.826074803
2-STORY 1946 & NEWER,FV,3.90982337,Somerst,7,5,3.038222638,3.190331698,WD,Normal,5.382017043
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,4.175018676,Veenker,8,5,3.100370545,3.109915863,WD,Normal,5.390051496
1-STORY 1946 & NEWER ALL STYLES,RL,3.942851007,CollgCr,7,5,3.117271296,3.117271296,New,Partial,5.217457623
1-STORY 1945 & OLDER,RL,4.008600172,Sawyer,5,8,2.827369273,2.827369273,WD,Normal,5.033423755
2-STORY 1946 & NEWER,RL,4.082426301,NoRidge,8,5,3.057285644,3.354684554,WD,Abnorml,5.411619706
2-STORY 1946 & NEWER,RL,4.015527404,Gilbert,6,5,2.906335042,3.196452542,WD,Normal,5.225309282
1-STORY 1946 & NEWER ALL STYLES,RL,3.999608959,Sawyer,4,4,3.10754913,3.209515015,WD,Normal,5.176091259
1-1/2 STORY FINISHED ALL AGES,RL,4.020361283,SWISU,6,5,3.026941628,3.214578954,WD,Normal,5.06069784
2-STORY 1945 & OLDER,RL,4.192455939,Crawfor,6,7,2.924279286,3.225309282,WD,Normal,5.247973266
2-STORY 1946 & NEWER,RL,4.150879191,NridgHt,7,5,3.026533265,3.336859821,New,Partial,5.447158031
2-STORY 1946 & NEWER,FV,4.033423755,Somerst,8,5,3.014520539,3.317645543,New,Partial,5.531159465
1-STORY 1946 & NEWER ALL STYLES,RL,3.980957316,Edwards,5,3,3.105850674,3.105850674,COD,Abnorml,4.77815125
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,4.539703239,Gilbert,5,5,3.023663918,3.023663918,WD,Normal,5.161368002
1-STORY 1946 & NEWER ALL STYLES,FV,3.643748685,Somerst,7,5,3.167317335,3.169674434,New,Partial,5.346352974
1-STORY 1945 & OLDER,RM,3.95230801,OldTown,5,6,3.003460532,3.011993115,WD,Normal,5.06069784
2-STORY 1946 & NEWER,RL,4.050302404,SawyerW,7,5,3.033423755,3.32159843,WD,Normal,5.357934847
1-STORY 1946 & NEWER ALL STYLES,RL,3.949341207,Gilbert,7,5,3.127104798,3.127104798,New,Partial,5.257999978
2-STORY 1946 & NEWER,RL,3.894537585,Sawyer,6,7,2.827369273,3.146128036,WD,Normal,5.174641193
2-STORY 1945 & OLDER,RL,4.350635608,Crawfor,6,6,3.136720567,3.418963831,WD,Normal,5.378397901
1-1/2 STORY FINISHED ALL AGES,RL,3.911690159,Edwards,5,6,2.878521796,3.054613055,WD,AdjLand,5.100370545
1-STORY 1946 & NEWER ALL STYLES,RL,3.926856709,NAmes,5,6,3.023663918,3.023663918,WD,Normal,5.152288344
DUPLEX - ALL STYLES AND AGES,RM,3.848804701,Mitchel,7,5,3.128399269,3.128399269,WD,Alloca,5.314499228
1-STORY 1946 & NEWER ALL STYLES,RL,4.221022805,NWAmes,6,7,3.204662512,3.204662512,WD,Normal,5.33243846
1-STORY 1946 & NEWER ALL STYLES,RL,4.337459261,Mitchel,5,5,2.994756945,2.994756945,WD,Normal,5.053078443
2-STORY 1946 & NEWER,RL,3.963787827,NoRidge,8,5,3.167317335,3.419955748,WD,Normal,5.498310554
1-STORY 1946 & NEWER ALL STYLES,RL,3.954242509,NAmes,6,5,3.07773118,3.07773118,WD,Normal,5.1430148
2-STORY 1946 & NEWER,RM,3.528659645,OldTown,7,8,2.813580989,3.142702246,WD,Normal,5.130333768
SPLIT OR MULTI-LEVEL,RL,4.10720997,SawyerW,7,5,3.181271772,3.215901813,WD,Normal,5.439332694
1-STORY 1946 & NEWER ALL STYLES,RL,3.934144812,NAmes,4,6,2.957607287,2.957607287,WD,Normal,5.037458372
1-STORY 1946 & NEWER ALL STYLES,RL,3.830075166,CollgCr,7,5,3.082066934,3.082066934,New,Partial,5.290924559
1-STORY 1946 & NEWER ALL STYLES,RL,4.059070913,Timber,6,5,3.143639235,3.149834697,WD,Normal,5.243038049
2-STORY PUD - 1946 & NEWER,RM,3.225309282,BrDale,6,5,2.683947131,2.994317153,COD,Abnorml,4.931457871
1-1/2 STORY FINISHED ALL AGES,RM,3.747100931,OldTown,6,7,2.954724791,3.078456818,ConLD,Abnorml,4.902546779
2-STORY PUD - 1946 & NEWER,RM,3.283301229,BrDale,5,5,2.883661435,3.135132651,WD,Normal,5.088136089
2-STORY 1946 & NEWER,RL,4.034989216,Gilbert,6,5,2.966610987,3.205204364,WD,Normal,5.257678575
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,3.276461804,MeadowV,4,7,2.799340549,2.799340549,WD,Normal,4.908485019
2-STORY 1946 & NEWER,RL,4.028042295,CollgCr,7,6,2.902546779,3.220369632,ConLw,Normal,5.326335861
